Name	Damage	Attack Radius	Attack Speed	Slow Power	Fire Power	Poison Power	Chance Stan	Portal Chance	Targets	Thief Chance	Boom Dmg	Armor Reduce	Chance Divine	Dmg Divine
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Cannon0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Cannon1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Cannon2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Cannon3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Cannon4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Light0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Light1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Light2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Light3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Light4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Magnet0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Magnet4	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
Default2	500	2	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	1100	2,25	0,75	0	0	0	0	0	1	0	0	0	0	0
Default3	2500	2,5	0,6	0	0	0	0	0	1	0	0	0	0	0
Default0	100	1,5	0,75	0	0	0	0	0	1	0	0	0	0	0
Default1	225	1,75	0,75	0	0	0	0	0	1	0	0	0	0	0
